Day - Draw, Date, Pick 3, Pick 4, Pick 5, Classic Lotto, Kicker, Rolling Cash 5, Mega Millions, Powerball, Lucky For Life
FRI - MID, 4/24/2020, 662, 1594, 76611, , , , , ,
FRI - EVE, 4/24/2020, 505, 2687, 49440, , , 3 6 11 13 36 $100000.00, 1 27 32 60 67 +18 x2 $174.00 M/0, ,
SAT - MID, 4/25/2020, 457, 9255, 37752, , , , , ,
SAT - EVE, 4/25/2020, 110, 7089, 52969, 5 27 32 34 41 48 $12.60 M/0, 742508, 5 13 25 33 35 $110000.00, , 1 3 21 47 57 +18 x2 $37.00 M/0,
SUN - MID, 4/26/2020, 497, 1863, 32590, , , , , ,
SUN - EVE, 4/26/2020, 096, 4708, 30722, , , 2 18 21 28 29 $120000.00, , ,
MON - MID, 4/27/2020, 771, 3333, 41330, , , , , ,
MON - EVE, 4/27/2020, 719, 6311, 51614, 1 13 14 22 29 30 $12.70 M/0, 546450, 2 3 13 21 39 $130000.00, , ,1 5 9 28 35 +90
TUE - MID, 4/28/2020, 207, 9345, 39619, , , , , ,
TUE - EVE, 4/28/2020, 207, 2913, 51643, , , 3 19 26 27 39 $100000.00, 13 19 53 54 63 +17 x3 $186.00 M/0, ,
WED - MID, 4/29/2020, 019, 8822, 87503, , , , , ,
WED - EVE, 4/29/2020, 720, 1726, 89438, 3 7 15 26 42 47 $12.80 M/0, 771073, 1 6 14 18 24 $110000.00, , 2 20 49 61 67 +20 x2 $43.00 M/0,
THU - MID, 4/30/2020, 443, 4463, 32823, , , , , ,
THU - EVE, 4/30/2020, 760, 9617, 70770, , , 6 27 29 34 37 $120000.00, , ,3 4 11 23 35 +170
FRI - MID, 5/1/2020, 666, 7278, 81693, , , , , ,
FRI - EVE, 5/1/2020, 170, 5266, 18314, , , 1 11 28 32 38 $130000.00, 28 30 31 35 66 +14 x2 $200.00 M/0, ,
